EMPRESA,NOME FANTASIA,RAZÃO SOCIAL,CNPJ,"DATA DE
APRESENTAÇÃO
DO PROGRAMA",ÓRGÃO CONTRATANTE,"DATA DA
AVALIAÇÃO",RESULTADO,"LEGISLAÇÃO
APLICADA"
"HYTEC CONSTRUÇÕES,
TERRAPLENAGEM E INCORPORAÇÃO
LTDA","HYTEC CONSTRUÇÕES,
TERRAPLENAGEM E INCORPORAÇÃO
LTDA","HYTEC CONSTRUÇÕES,
TERRAPLENAGEM E INCORPORAÇÃO
LTDA",02.141.279/0001-59,06/01/2023,"SECRETARIA DE ESTADO DE OBRAS
E INFRAESTRUTURA DO DISTRITO FEDERAL",02/06/2023,Regular,Lei no 6.112/2018
"IDEAL SERVICE PLANEJAMENTO
CONSTRUÇÕES E PROJETOS LTDA","IDEAL SERVICE PLANEJAMENTO
CONSTRUÇÕES E PROJETOS LTDA","IDEAL SERVICE PLANEJAMENTO
CONSTRUÇÕES E PROJETOS LTDA",14.853.879/0001-29,25/04/2023,"SECRETARIA DE ESTADO DE EDUCAÇÃO DO
DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
"INFRA ENGETH INFRA-ESTRUTURA,
CONSTRUÇÃO E COMÉRCIO LTDA","INFRA ENGETH INFRA-ESTRUTURA,
CONSTRUÇÃO E COMÉRCIO LTDA","INFRA ENGETH INFRA-ESTRUTURA,
CONSTRUÇÃO E COMÉRCIO LTDA",02.237.437/0001-79,30/09/2022,"SECRETARIA DE ESTADO DE EDUCAÇÃO DO
DISTRITO FEDERAL",12/05/2023,Regular,Lei no 6.112/2018
"INFRA ENGETH INFRA-ESTRUTURA,
CONSTRUÇÃO E COMÉRCIO LTDA","INFRA ENGETH INFRA-ESTRUTURA,
CONSTRUÇÃO E COMÉRCIO LTDA","INFRA ENGETH INFRA-ESTRUTURA,
CONSTRUÇÃO E COMÉRCIO LTDA",02.237.437/0001-79,13/03/2023,"SECRETARIA DE ESTADO DE EDUCAÇÃO DO
DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
INTERATIVA FACILITIES LTDA,INTERATIVA FACILITIES LTDA,INTERATIVA FACILITIES LTDA,05.058.935/0001-42,06/01/2023,"SECRETARIA DE ESTADO DE PLANEJAMENTO,
ORÇAMENTO E ADMINISTRAÇÃO DO
DISTRITO FEDERAL",02/06/2023,Regular,Lei no 6.112/2018
"INSTITUTO AMERICANO DE
DESENVOLVIMENTO - IADES","INSTITUTO AMERICANO DE
DESENVOLVIMENTO - IADES","INSTITUTO AMERICANO DE
DESENVOLVIMENTO - IADES",11.432.298/0001-25,18/08/2022,BANCO DE BRASÍLIA S.A,26/06/2023,Regular,Lei no 6.112/2018
"K2 CONSERVAÇÃO E SERVIÇOS GERAIS
EIRELI","K2 CONSERVAÇÃO E SERVIÇOS GERAIS
EIRELI","K2 CONSERVAÇÃO E SERVIÇOS GERAIS
EIRELI",07.213.179/0001-04,16/01/2023,POLÍCIA CIVIL DO DISTRITO FEDERAL,13/09/2023,Regular,Lei no 6.112/2018
"LINK CARD ADMINISTRADORA DE
BENEFÍCIOS EIRELI","LINK CARD ADMINISTRADORA DE
BENEFÍCIOS EIRELI","LINK CARD ADMINISTRADORA DE
BENEFÍCIOS EIRELI",12.039.966/0001-11,02/03/2023,"SECRETARIA DE ESTADO DE PLANEJAMENTO,
ORÇAMENTO E ADMINISTRAÇÃO DO
DISTRITO FEDERAL",02/06/2023,Regular,Lei no 6.112/2018
"LK CONSTRUCOES E TERRAPLENAGEM
EIRELI - ME","LK CONSTRUCOES E TERRAPLENAGEM
EIRELI - ME","LK CONSTRUCOES E TERRAPLENAGEM
EIRELI - ME",15.449.462/0001-68,23/01/2023,"DEPARTAMENTO DE ESTRADAS DE RODAGEM
DO DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
"MULTSERV SEGURANÇA E VIGILÂNCIA
PATRIMONIAL LTDA","MULTSERV SEGURANÇA E VIGILÂNCIA
PATRIMONIAL LTDA","MULTSERV SEGURANÇA E VIGILÂNCIA
PATRIMONIAL LTDA",04.689.445/0001-81,14/10/2023,"SECRETARIA DE ESTADO DE ECONOMIA DO
DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
MPE ENGENHARIA E SERVICOS S.A.,MPE ENGENHARIA E SERVICOS S.A.,MPE ENGENHARIA E SERVICOS S.A.,04.743.858/0001-05,28/03/2023,"COMPANHIA DO METROPOLITANO DO
DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
"NG – ENGENHARIA E CONSTRUÇÕES
LTDA","NG – ENGENHARIA E CONSTRUÇÕES
LTDA","NG – ENGENHARIA E CONSTRUÇÕES
LTDA",04.326.648/0001-03,05/04/2023,"COMPANHIA URBANIZADORA DA NOVA
CAPITAL DO BRASIL",13/09/2023,Regular,Lei no 6.112/2018
NISSAN DO BRASIL AUTOMÓVEIS LTDA,NISSAN DO BRASIL AUTOMÓVEIS LTDA,NISSAN DO BRASIL AUTOMÓVEIS LTDA,04.104.117/0007-61,30/01/2023,POLÍCIA CIVIL DO DISTRITO FEDERAL,26/06/2023,Regular,Lei no 6.112/2018
"NTSEC SOLUÇÕES EM
TELEINFORMÁTICA LTDA","NTSEC SOLUÇÕES EM
TELEINFORMÁTICA LTDA","NTSEC SOLUÇÕES EM
TELEINFORMÁTICA LTDA",09.137.728/0001-34,26/09/2022,"SECRETARIA DE ESTADO DE ECONOMIA DO
DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
"NIVA TECNOLOGIA DA INFORMAÇÃO
LTDA","NIVA TECNOLOGIA DA INFORMAÇÃO
LTDA","NIVA TECNOLOGIA DA INFORMAÇÃO
LTDA",09.053.350/0001-90,25/07/2022,"SECRETARIA DE ESTADO DE ECONOMIA DO
DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
PENTAG ENGENHARIA LTDA,PENTAG ENGENHARIA LTDA,PENTAG ENGENHARIA LTDA,02.581.588/0001-40,06/01/2023,"SECRETARIA DE ESTADO DE OBRAS
E INFRAESTRUTURA DO DISTRITO FEDERAL",02/06/2023,Regular,Lei no 6.112/2018
"PERTO S.A PERIFÉRICOS PARA
AUTOMAÇÃO","PERTO S.A PERIFÉRICOS PARA
AUTOMAÇÃO","PERTO S.A PERIFÉRICOS PARA
AUTOMAÇÃO",92.080.035/0001-04,24/02/2023,BANCO DE BRASÍLIA S.A,26/06/2023,Regular,Lei no 6.112/2018
EMPRESA,NOME FANTASIA,RAZÃO SOCIAL,CNPJ,"DATA DE
APRESENTAÇÃO
DO PROGRAMA",ÓRGÃO CONTRATANTE,"DATA DA
AVALIAÇÃO",RESULTADO,"LEGISLAÇÃO
APLICADA"
"PLANETA ÁGUA COMÉRCIO DE
PRODUTOS NATURAIS LTDA","PLANETA ÁGUA COMÉRCIO DE
PRODUTOS NATURAIS LTDA","PLANETA ÁGUA COMÉRCIO DE
PRODUTOS NATURAIS LTDA",05.052.920/0001-77,24/02/2023,"COMPANHIA DE SANEAMENTO AMBIENTAL
DO DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
"POLIGRAPH SISTEMAS E
REPRESENTAÇÕES LTDA","POLIGRAPH SISTEMAS E
REPRESENTAÇÕES LTDA","POLIGRAPH SISTEMAS E
REPRESENTAÇÕES LTDA",85.200.665/0001-00,28/03/2023,"DEPARTAMENTO DE ESTRADAS DE RODAGEM
DO DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
